x	y	CX	CY	Type	Fileindex	Color	ROP2	Hidden	Group	AryType	AryX	AryY	AryCX	AryCY	AryNX	AryNY	AryXpos	AryYpos	AptExists	AptCX	AptCY	AptAngle	Text	Z	CZ	AryZ	AryCZ	AryNZ	AryZPos	AryAngle
33461.562500	27912.419922	11.000000	11.000000	0	23	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	22	0	0	0.000000	0.000000	0.000000	22	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33511.562500	27912.419922	11.000000	11.000000	0	24	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	23	0	0	0.000000	0.000000	0.000000	23	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33561.562500	27912.419922	11.000000	11.000000	0	25	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	24	0	0	0.000000	0.000000	0.000000	24	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33611.562500	27912.419922	11.000000	11.000000	0	26	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	25	0	0	0.000000	0.000000	0.000000	25	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33661.562500	27912.419922	11.000000	11.000000	0	27	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	26	0	0	0.000000	0.000000	0.000000	26	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33711.562500	27912.419922	11.000000	11.000000	0	28	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	27	0	0	0.000000	0.000000	0.000000	27	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33761.562500	27912.419922	11.000000	11.000000	0	29	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	28	0	0	0.000000	0.000000	0.000000	28	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33811.562500	27912.419922	11.000000	11.000000	0	30	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	29	0	0	0.000000	0.000000	0.000000	29	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33861.562500	27912.419922	11.000000	11.000000	0	31	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	30	0	0	0.000000	0.000000	0.000000	30	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33911.562500	27912.419922	11.000000	11.000000	0	32	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	31	0	0	0.000000	0.000000	0.000000	31	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33961.562500	27912.419922	11.000000	11.000000	0	33	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	32	0	0	0.000000	0.000000	0.000000	32	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34011.562500	27912.419922	11.000000	11.000000	0	34	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	33	0	0	0.000000	0.000000	0.000000	33	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34061.562500	27912.419922	11.000000	11.000000	0	35	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	34	0	0	0.000000	0.000000	0.000000	34	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34111.562500	27912.419922	11.000000	11.000000	0	36	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	35	0	0	0.000000	0.000000	0.000000	35	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34161.562500	27912.419922	11.000000	11.000000	0	37	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	36	0	0	0.000000	0.000000	0.000000	36	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
34211.562500	27912.419922	11.000000	11.000000	0	38	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	37	0	0	0.000000	0.000000	0.000000	37	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
