x	y	CX	CY	Type	Fileindex	Color	ROP2	Hidden	Group	AryType	AryX	AryY	AryCX	AryCY	AryNX	AryNY	AryXpos	AryYpos	AptExists	AptCX	AptCY	AptAngle	Text	Z	CZ	AryZ	AryCZ	AryNZ	AryZPos	AryAngle
34547.246094	17492.902344	11.000000	11.000000	0	24	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	3	1	0	0.000000	0.000000	0.000000	23	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34592.429688	17477.136719	11.000000	11.000000	0	25	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	4	1	0	0.000000	0.000000	0.000000	24	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34637.613281	17461.371094	11.000000	11.000000	0	26	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	5	1	0	0.000000	0.000000	0.000000	25	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34682.792969	17445.605469	11.000000	11.000000	0	27	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	6	1	0	0.000000	0.000000	0.000000	26	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34727.976563	17429.837891	11.000000	11.000000	0	28	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	7	1	0	0.000000	0.000000	0.000000	27	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34773.160156	17414.072266	11.000000	11.000000	0	29	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	8	1	0	0.000000	0.000000	0.000000	28	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34818.339844	17398.306641	11.000000	11.000000	0	30	255	13	0	4	0	34411.699219	17540.199219	406.642334	-141.891891	10	1	9	1	0	0.000000	0.000000	0.000000	29	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34609.398438	17060.699219	11.000000	11.000000	0	31	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	0	1	0	0.000000	0.000000	0.000000	30	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34649.585938	17093.871094	11.000000	11.000000	0	32	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	1	1	0	0.000000	0.000000	0.000000	31	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34689.777344	17127.042969	11.000000	11.000000	0	33	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	2	1	0	0.000000	0.000000	0.000000	32	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34729.964844	17160.214844	11.000000	11.000000	0	34	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	3	1	0	0.000000	0.000000	0.000000	33	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34770.156250	17193.386719	11.000000	11.000000	0	35	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	4	1	0	0.000000	0.000000	0.000000	34	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34810.343750	17226.558594	11.000000	11.000000	0	36	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	5	1	0	0.000000	0.000000	0.000000	35	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34850.531250	17259.730469	11.000000	11.000000	0	37	255	13	0	6	0	34609.398438	17060.699219	241.134750	199.031982	7	1	6	1	0	0.000000	0.000000	0.000000	36	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34948.699219	17262.400391	11.000000	11.000000	0	38	255	13	0	7	0	34948.699219	17262.400391	-2.026342	-225.708496	4	1	0	1	0	0.000000	0.000000	0.000000	37	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34948.023438	17187.164063	11.000000	11.000000	0	39	255	13	0	7	0	34948.699219	17262.400391	-2.026342	-225.708496	4	1	1	1	0	0.000000	0.000000	0.000000	38	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34947.347656	17111.927734	11.000000	11.000000	0	40	255	13	0	7	0	34948.699219	17262.400391	-2.026342	-225.708496	4	1	2	1	0	0.000000	0.000000	0.000000	39	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34946.671875	17036.691406	11.000000	11.000000	0	41	255	13	0	7	0	34948.699219	17262.400391	-2.026342	-225.708496	4	1	3	1	0	0.000000	0.000000	0.000000	40	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
35985.574219	16859.431641	11.000000	11.000000	0	42	255	13	0	8	0	36006.898438	16923.400391	0.000000	0.000000	0	0	0	0	0	0.000000	0.000000	0.000000	41	2.600000	0.000000	2.600000	0.000000	0	0	0.000000
36353.199219	16466.099609	11.000000	11.000000	0	43	255	13	0	8	0	36353.199219	16466.099609	0.000000	0.000000	0	0	0	0	0	0.000000	0.000000	0.000000	42	2.600000	0.000000	2.600000	0.000000	0	0	0.000000
37498.800781	16642.800781	11.000000	11.000000	0	44	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	0	1	0	0.000000	0.000000	0.000000	43	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37545.019531	16662.582031	11.000000	11.000000	0	45	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	1	1	0	0.000000	0.000000	0.000000	44	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37591.242188	16682.363281	11.000000	11.000000	0	46	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	2	1	0	0.000000	0.000000	0.000000	45	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37637.460938	16702.144531	11.000000	11.000000	0	47	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	3	1	0	0.000000	0.000000	0.000000	46	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37683.679688	16721.925781	11.000000	11.000000	0	48	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	4	1	0	0.000000	0.000000	0.000000	47	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37729.898438	16741.707031	11.000000	11.000000	0	49	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	5	1	0	0.000000	0.000000	0.000000	48	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37776.121094	16761.488281	11.000000	11.000000	0	50	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	6	1	0	0.000000	0.000000	0.000000	49	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37822.339844	16781.267578	11.000000	11.000000	0	51	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	7	1	0	0.000000	0.000000	0.000000	50	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37868.558594	16801.048828	11.000000	11.000000	0	52	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	8	1	0	0.000000	0.000000	0.000000	51	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37914.777344	16820.830078	11.000000	11.000000	0	53	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	9	1	0	0.000000	0.000000	0.000000	52	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37961.000000	16840.611328	11.000000	11.000000	0	54	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	10	1	0	0.000000	0.000000	0.000000	53	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38007.218750	16860.392578	11.000000	11.000000	0	55	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	11	1	0	0.000000	0.000000	0.000000	54	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38053.437500	16880.173828	11.000000	11.000000	0	56	255	13	0	9	0	37498.800781	16642.800781	554.637085	237.373276	13	1	12	1	0	0.000000	0.000000	0.000000	55	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37895.839844	17120.298828	11.000000	11.000000	0	57	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	0	1	0	0.000000	0.000000	0.000000	56	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37918.800781	17163.974609	11.000000	11.000000	0	58	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	1	1	0	0.000000	0.000000	0.000000	57	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37941.765625	17207.650391	11.000000	11.000000	0	59	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	2	1	0	0.000000	0.000000	0.000000	58	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37964.726563	17251.326172	11.000000	11.000000	0	60	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	3	1	0	0.000000	0.000000	0.000000	59	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
37987.687500	17295.001953	11.000000	11.000000	0	61	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	4	1	0	0.000000	0.000000	0.000000	60	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38010.648438	17338.677734	11.000000	11.000000	0	62	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	5	1	0	0.000000	0.000000	0.000000	61	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38033.613281	17382.353516	11.000000	11.000000	0	63	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	6	1	0	0.000000	0.000000	0.000000	62	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38056.574219	17426.029297	11.000000	11.000000	0	64	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	7	1	0	0.000000	0.000000	0.000000	63	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38079.535156	17469.705078	11.000000	11.000000	0	65	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	8	1	0	0.000000	0.000000	0.000000	64	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38102.496094	17513.380859	11.000000	11.000000	0	66	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	9	1	0	0.000000	0.000000	0.000000	65	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38125.460938	17557.056641	11.000000	11.000000	0	67	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	10	1	0	0.000000	0.000000	0.000000	66	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38148.421875	17600.732422	11.000000	11.000000	0	68	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	11	1	0	0.000000	0.000000	0.000000	67	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38171.382813	17644.408203	11.000000	11.000000	0	69	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	12	1	0	0.000000	0.000000	0.000000	68	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38194.347656	17688.083984	11.000000	11.000000	0	70	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	13	1	0	0.000000	0.000000	0.000000	69	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38217.308594	17731.759766	11.000000	11.000000	0	71	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	14	1	0	0.000000	0.000000	0.000000	70	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38240.269531	17775.435547	11.000000	11.000000	0	72	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	15	1	0	0.000000	0.000000	0.000000	71	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38263.230469	17819.111328	11.000000	11.000000	0	73	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	16	1	0	0.000000	0.000000	0.000000	72	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38286.195313	17862.787109	11.000000	11.000000	0	74	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	17	1	0	0.000000	0.000000	0.000000	73	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38309.156250	17906.462891	11.000000	11.000000	0	75	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	18	1	0	0.000000	0.000000	0.000000	74	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38332.117188	17950.138672	11.000000	11.000000	0	76	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	19	1	0	0.000000	0.000000	0.000000	75	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38355.078125	17993.814453	11.000000	11.000000	0	77	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	20	1	0	0.000000	0.000000	0.000000	76	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38378.042969	18037.490234	11.000000	11.000000	0	78	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	21	1	0	0.000000	0.000000	0.000000	77	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38401.003906	18081.166016	11.000000	11.000000	0	79	255	13	0	10	0	37895.839844	17120.298828	505.164063	960.867188	23	1	22	1	0	0.000000	0.000000	0.000000	78	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39504.199219	17648.500000	11.000000	11.000000	0	80	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	0	1	0	0.000000	0.000000	0.000000	79	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39455.628906	17634.285156	11.000000	11.000000	0	81	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	1	1	0	0.000000	0.000000	0.000000	80	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39407.058594	17620.068359	11.000000	11.000000	0	82	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	2	1	0	0.000000	0.000000	0.000000	81	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39358.492188	17605.853516	11.000000	11.000000	0	83	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	3	1	0	0.000000	0.000000	0.000000	82	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39309.921875	17591.638672	11.000000	11.000000	0	84	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	4	1	0	0.000000	0.000000	0.000000	83	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39261.351563	17577.421875	11.000000	11.000000	0	85	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	5	1	0	0.000000	0.000000	0.000000	84	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39212.781250	17563.207031	11.000000	11.000000	0	86	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	6	1	0	0.000000	0.000000	0.000000	85	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39164.214844	17548.992188	11.000000	11.000000	0	87	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	7	1	0	0.000000	0.000000	0.000000	86	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39115.644531	17534.777344	11.000000	11.000000	0	88	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	8	1	0	0.000000	0.000000	0.000000	87	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39067.074219	17520.560547	11.000000	11.000000	0	89	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	9	1	0	0.000000	0.000000	0.000000	88	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
39018.503906	17506.345703	11.000000	11.000000	0	90	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	10	1	0	0.000000	0.000000	0.000000	89	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38969.933594	17492.130859	11.000000	11.000000	0	91	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	11	1	0	0.000000	0.000000	0.000000	90	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38921.367188	17477.914063	11.000000	11.000000	0	92	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	12	1	0	0.000000	0.000000	0.000000	91	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38872.796875	17463.699219	11.000000	11.000000	0	93	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	13	1	0	0.000000	0.000000	0.000000	92	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38824.226563	17449.484375	11.000000	11.000000	0	94	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	14	1	0	0.000000	0.000000	0.000000	93	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38775.656250	17435.267578	11.000000	11.000000	0	95	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	15	1	0	0.000000	0.000000	0.000000	94	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38727.089844	17421.052734	11.000000	11.000000	0	96	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	16	1	0	0.000000	0.000000	0.000000	95	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
38678.519531	17406.837891	11.000000	11.000000	0	97	255	13	0	11	0	39504.199219	17648.500000	-874.250122	-255.878098	19	1	17	1	0	0.000000	0.000000	0.000000	96	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
